Substrates,Kinases
ABL1_729_740,CK1A2 BMPR1B SRPK3 COT BMPR1A CK1G1 SRPK1 ACVR2B SRPK2 CK1E ALK1 RIPK3 ALK2 SLK GRK5 PRP4 MOS ULK1 CK1A GRK1 CK1G3 CK1D CK1G2 BMPR2 CLK3 GRK4 YANK3 TTBK2 TTBK1 CDKL1 CLK1 ULK2 YANK2 MEKK3 DAPK1 MLK3 TAO3 MLK4 LRRK2 PIM2 MLK1
ACM1_421_433,NEK2 DRAK1 ANKRD3 PKCI PKN1 NEK8 MYLK4 ERK7 SGK3 MST3 smMLCK PKN2 CAMK1G skMLCK RIPK3 PKCH NEK1 PKCE caMLCK ULK3 PKCT NEK3 NEK5 DAPK1 PKCA RIPK2 NIK NEK4 YSK1 AKT1 MST4 AURB PKN3 DAPK2 SGK1 LOK PDK1 CAMK4
ACM1_444_456,SRPK2 MAK SRPK1 SRPK3 CDKL5 ICK MOK CDKL2 TSSK3 ERK2 CDKL1 CDK1 CLK2 CDK2 RSK4 PKCA CDK18 PKCE ERK1 AKT3 CLK1 CDK10 HIPK1 CDK17 PKCB PKCG P38A PKCD CDK16 HIPK2 NDR1 SGK1 CDK4 ERK7 AKT1 AKT2 SGK3 MNK2 CDK6 PKCH CLK3 PRP4 DYRK3 PKCT CLK4 RSK1 TSSK4 DYRK1A HIPK3 MNK1 RSK3 PKN2 CDK14 PKCZ CDK12 PIM3 RSK2 NDR2 PIM1 DCAMKL1
ACM4_456_468,PKCE PKCH MST3 PKCI NEK11 PKCT SSTK PKN1 PKCA PKN2 SGK3 PKCZ DRAK1 NEK8 LOK NEK1 KHS2 HPK1 QIK PKCG YSK1 PKCD SLK NEK4 NEK2 PDK1 TAO1 KHS1 WNK1 PKCB MELK ERK7 MST4 NEK5 NEK3 MINK WNK3 WNK2 IRAK4 ASK3 CDK2
ACM5_494_506,CITRON PKCI PKCE AURB skMLCK PAK2 PKN1 PKCH PKCZ S6K1 PKCT MYLK4 NEK2 STK33 NEK11 CAMK1D DAPK1 LOK PKCA DRAK1 SLK PKN2 S6K2 PDK1 PKG2 MST3 NEK8 NEK3 SGK3 PKACG PKCG PAK3 IRAK4 KHS2 AURA NEK1 PKCD caMLCK PAK5 DCAMKL2 DAPK2 MSK1 CAMK1G YSK1 ROCK1 HPK1 CDK6 MNK1
ACM5_498_510,ERK7 PKCI PKCE MYLK4 PKCH PKCT PKN1 skMLCK PKCA NEK11 DRAK1 PKCZ NEK8 LOK PKCG MST3 OSR1 PKN2 PKCD AURB NEK2 SLK IRAK4 PHKG2 NEK1 CAMK1D KHS2 PDK1 HPK1 STK33 CAMK1G SGK3 PKG2 YSK1 NEK4 NEK3 MST4 ROCK1 TAO1 ASK2 caMLCK NEK5 PAK2 DAPK1 ANKRD3 QIK
ADDB_696_708,CDK3 HIPK4 PKD1 CDK4 CDK17 LATS1 CDK1 CDK18 PKN2 CDK2 CDK14 NDR2 P38G CDK5 CDK16 CDK10 CDK15 MAK PHKG2 CDK12 PKCZ CDK13 CDK7 IRE2 CDK6 CDK9 CDK8 ERK1 PKN1 SRPK1 HIPK2 LATS2 HIPK1 PKD2 CLK1 PIM1 PKCA MLK3 CLK3 ICK CDK19 NLK ERK2 P38B P38A CAMK1G
ADDB_706_718,NEK2 CDK14 AKT3 CDK4 CDK6 CDK16 HIPK1 CDK5 MOK DYRK1B ERK2 P38A CDK17 PKN2 PKN3 JNK2 CDK18 DCAMKL2 HIPK3 NEK7 RSK3 CAMK1G RSK1 CLK1 CDK7 PKCH PINK1 CDK10 PIM2 PKCG DCAMKL1 PKCZ YANK3 NUAK2 PKCA CAMK4 PKCD RSK4 SGK1 RSK2 NLK TRPM7 PKG2 PKCT PKCI CLK3 DYRK3 QIK PIM1 PKACG CDK15 CLK4 CDK9 PKD3 NEK6 SRPK1 CDKL1 CDKL2
ADRB2_338_350,PKN1 PKCE CLK1 PKCI PAK6 CLK4 PKG2 PKCT AURB AKT2 PKN2 AKT1 AURC MYLK4 SGK3 PKCH CLK3 PKD3 MNK2 MNK1 RSK1 CDKL2 WNK1 PKG1 PAK3 AKT3 PAK5 PKCG CHK2 MRCKA ULK3 WNK3 PHKG2 AURA PAK4 PKACG skMLCK RSK3 PKCZ RSK4 caMLCK CAMK4 PAK2 DAPK1 PKCD CAMK1B MRCKB DAPK2 MSK1 MST4 CAMK1G SGK1
AKT1_301_313,CDK16 CDK6 DCAMKL1 CDK14 PLK4 CDK3 WNK2 P38D CDK5 CDK17 CAMKK1 JNK2 P38G TLK1 DYRK1B P38A NEK5 CDK4 CDK10 CDK18 CK1G3 DCAMKL2 CDK9 TTK YANK3 HIPK3 TRPM6 CDK1 HIPK1 P38B JNK3 JNK1 CDK15 DYRK4 ERK2 TLK2 CDK2 CDK12 NEK8 VRK1 ERK1 MEKK1 CDK13 ANKRD3
